highlightID, color, start, length, end, author, quirkID, quirkTitle, sourceID, sourceTitle, questionID, quote,"Title","Year","Journal","Article Nr","Authors",
1,#20ffff,1462,139,1601,"Danie Smit",1,"Transformation",1,"01_Mendling et al. 2020.",1," world is blazing with change and digital innovation is fuelling the ﬁre. Process management can help channel the heat into useful work. Un","Building a complementary agenda for business process management and digital innovation","2020","European journal of information systems","01","Mendling J.,Pentland B. T.,Recker J.",
2,#d95129,1462,139,1601,"Danie Smit",2,"Process Management",1,"01_Mendling et al. 2020.",1," world is blazing with change and digital innovation is fuelling the ﬁre. Process management can help channel the heat into useful work. Un","Building a complementary agenda for business process management and digital innovation","2020","European journal of information systems","01","Mendling J.,Pentland B. T.,Recker J.",
3,#21ff06,1462,139,1601,"Danie Smit",3,"Enabling Factor",1,"01_Mendling et al. 2020.",1," world is blazing with change and digital innovation is fuelling the ﬁre. Process management can help channel the heat into useful work. Un","Building a complementary agenda for business process management and digital innovation","2020","European journal of information systems","01","Mendling J.,Pentland B. T.,Recker J.",
5,#800080,1462,290,1752,"Danie Smit",7,"Digital innovation",1,"01_Mendling et al. 2020.",1," world is blazing with change and digital innovation is fuelling the ﬁre. Process management can help channel the heat into useful work. Unfortunately, research on digital innovation and process management has been conducted by separate communities operating under orthogonal assumptions. W","Building a complementary agenda for business process management and digital innovation","2020","European journal of information systems","01","Mendling J.,Pentland B. T.,Recker J.",
6,#1086e1,3076,63,3139,"Danie Smit",9,"Physical System",1,"01_Mendling et al. 2020.",1,"tal platform businesses dominate our economy (Tiwana, 2015). In","Building a complementary agenda for business process management and digital innovation","2020","European journal of information systems","01","Mendling J.,Pentland B. T.,Recker J.",
7,#1647e3,3076,63,3139,"Danie Smit",8,"Platforms",1,"01_Mendling et al. 2020.",1,"tal platform businesses dominate our economy (Tiwana, 2015). In","Building a complementary agenda for business process management and digital innovation","2020","European journal of information systems","01","Mendling J.,Pentland B. T.,Recker J.",
8,#d9168b,3141,89,3230,"Danie Smit",10,"People",1,"01_Mendling et al. 2020.",1,"vative digital devices feature in the experiences of more and more people (Yoo, 2010) thr","Building a complementary agenda for business process management and digital innovation","2020","European journal of information systems","01","Mendling J.,Pentland B. T.,Recker J.",
9,#df4444,1462,139,1601,"Danie Smit",11,"Structure",1,"01_Mendling et al. 2020.",1," world is blazing with change and digital innovation is fuelling the ﬁre. Process management can help channel the heat into useful work. Un","Building a complementary agenda for business process management and digital innovation","2020","European journal of information systems","01","Mendling J.,Pentland B. T.,Recker J.",
10,#800080,3442,232,3674,"Danie Smit",7,"Digital innovation",1,"01_Mendling et al. 2020.",1,"l devices now outnumber humans as information processors. At the present time, over 20 billion devices are connected feeding oﬀ over more than 50 billion sensors that track, monitor, or feed data to those objects (Zhang, 2016). Digi","Building a complementary agenda for business process management and digital innovation","2020","European journal of information systems","01","Mendling J.,Pentland B. T.,Recker J.",
11,#df4444,3676,281,3957,"Danie Smit",11,"Structure",1,"01_Mendling et al. 2020.",1,"l devices are everywhere and they seem to be changing everything.
What is often overlooked in this story is that digital innovation is not only about the objects (a.k.a., infrastructure, platforms, devices or other artefacts) – it is also about the processes they facilitate. Digit","Building a complementary agenda for business process management and digital innovation","2020","European journal of information systems","01","Mendling J.,Pentland B. T.,Recker J.",
12,#8120e1,3676,281,3957,"Danie Smit",4,"Socio",1,"01_Mendling et al. 2020.",1,"l devices are everywhere and they seem to be changing everything.
What is often overlooked in this story is that digital innovation is not only about the objects (a.k.a., infrastructure, platforms, devices or other artefacts) – it is also about the processes they facilitate. Digit","Building a complementary agenda for business process management and digital innovation","2020","European journal of information systems","01","Mendling J.,Pentland B. T.,Recker J.",
15,#20ffff,4415,231,4646,"Danie Smit",1,"Transformation",1,"01_Mendling et al. 2020.",1,"rstand change, we need to understand process, and vice versa (Langley  Tsoukas, 2017). Oﬀerings like Uber do not change the fact that we move from A to B; they change the process of ﬁnding, reserving, and paying for a ride. We stil","Building a complementary agenda for business process management and digital innovation","2020","European journal of information systems","01","Mendling J.,Pentland B. T.,Recker J.",
16,#d95129,4415,231,4646,"Danie Smit",2,"Process Management",1,"01_Mendling et al. 2020.",1,"rstand change, we need to understand process, and vice versa (Langley  Tsoukas, 2017). Oﬀerings like Uber do not change the fact that we move from A to B; they change the process of ﬁnding, reserving, and paying for a ride. We stil","Building a complementary agenda for business process management and digital innovation","2020","European journal of information systems","01","Mendling J.,Pentland B. T.,Recker J.",
17,#21ff06,4415,231,4646,"Danie Smit",3,"Enabling Factor",1,"01_Mendling et al. 2020.",1,"rstand change, we need to understand process, and vice versa (Langley  Tsoukas, 2017). Oﬀerings like Uber do not change the fact that we move from A to B; they change the process of ﬁnding, reserving, and paying for a ride. We stil","Building a complementary agenda for business process management and digital innovation","2020","European journal of information systems","01","Mendling J.,Pentland B. T.,Recker J.",
18,#d95129,5075,369,5444,"Danie Smit",2,"Process Management",1,"01_Mendling et al. 2020.",1,"amples begin to suggest that the established terminology of digital innovation, such as generativity and recombination, is not only about digital technology per se (technological objects, devices and artefacts). Digital innovation is also the story of means for changing and facilitating new pathways of action (Arthur, 2009; Garud et al., 2010; Hargadon, 2006). Creati","Building a complementary agenda for business process management and digital innovation","2020","European journal of information systems","01","Mendling J.,Pentland B. T.,Recker J.",
19,#20ffff,6350,250,6600,"Danie Smit",1,"Transformation",1,"01_Mendling et al. 2020.",1,"gital innovation transforms process, one might wonder whether these transformations can or need to be managed. Generative capacity is openended, creative, and innovative but it is also ambiguous, divergent and unknown (Avital  Te'Eni, 2009). It is ea","Building a complementary agenda for business process management and digital innovation","2020","European journal of information systems","01","Mendling J.,Pentland B. T.,Recker J.",
20,#d95129,8289,487,8776,"Danie Smit",2,"Process Management",1,"01_Mendling et al. 2020.",1,"lassical process-centric technological innovations such as enterprise systems or workﬂow management systems, new digital technologies such as mobile and distributed computing, social media, digital platforms, data analytics, artiﬁcial intelligence, distributed ledger technology, cloud computing, and so forth have become increasingly important to the management of business processes (Hull  MotahariNezhad, 2016; Mendling et al., 2018b; Schulte et al., 2015; Swenson, 2012). The current","Building a complementary agenda for business process management and digital innovation","2020","European journal of information systems","01","Mendling J.,Pentland B. T.,Recker J.",
21,#d95129,9408,152,9560,"Danie Smit",2,"Process Management",1,"01_Mendling et al. 2020.",1,"ital innovation has made current practices in BPM possible just as much as digital innovation is changing the way how we manage processes, both in busin","Building a complementary agenda for business process management and digital innovation","2020","European journal of information systems","01","Mendling J.,Pentland B. T.,Recker J.",
22,#df4444,9408,152,9560,"Danie Smit",11,"Structure",1,"01_Mendling et al. 2020.",1,"ital innovation has made current practices in BPM possible just as much as digital innovation is changing the way how we manage processes, both in busin","Building a complementary agenda for business process management and digital innovation","2020","European journal of information systems","01","Mendling J.,Pentland B. T.,Recker J.",
23,#800080,9408,152,9560,"Danie Smit",7,"Digital innovation",1,"01_Mendling et al. 2020.",1,"ital innovation has made current practices in BPM possible just as much as digital innovation is changing the way how we manage processes, both in busin","Building a complementary agenda for business process management and digital innovation","2020","European journal of information systems","01","Mendling J.,Pentland B. T.,Recker J.",
25,#800080,9896,204,10100,"Danie Smit",7,"Digital innovation",1,"01_Mendling et al. 2020.",1,"ooks at how processes are designed as sequences of activities. Digital innovation research looks at how processes are unfolding, with an eye on emergent changes in technology and organising.
BPM research ","Building a complementary agenda for business process management and digital innovation","2020","European journal of information systems","01","Mendling J.,Pentland B. T.,Recker J.",
27,#d95129,9896,682,10578,"Danie Smit",2,"Process Management",1,"01_Mendling et al. 2020.",1,"ooks at how processes are designed as sequences of activities. Digital innovation research looks at how processes are unfolding, with an eye on emergent changes in technology and organising.
BPM research focuses on analytical and computational approaches to generate design artefacts such as frameworks, methods or technology that support the execution and management of processes in organisations. In this way, BPM largely follows prescriptive research objectives that relate to the question how a process can be improved. Over decades, this focus has led to the development of enormous strengths in the design of artefacts and analytical and computational techniques. Digital inno","Building a complementary agenda for business process management and digital innovation","2020","European journal of information systems","01","Mendling J.,Pentland B. T.,Recker J.",
